"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"15390","OPTCUR","USDINR","OPTION","13-Oct-2023",76,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",6.7825,7.6375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.215,"USDINR"
"15392","OPTCUR","USDINR","OPTION","13-Oct-2023",76.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",6.5325,7.3875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.965,"USDINR"
"15394","OPTCUR","USDINR","OPTION","13-Oct-2023",76.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",6.2825,7.1375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.7175,"USDINR"
"15396","OPTCUR","USDINR","OPTION","13-Oct-2023",76.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",6.0325,6.8875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.4675,"USDINR"
"15398","OPTCUR","USDINR","OPTION","13-Oct-2023",77,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.7825,6.6375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.22,"USDINR"
"15400","OPTCUR","USDINR","OPTION","13-Oct-2023",77.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.5275,6.3825,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.9725,"USDINR"
"15402","OPTCUR","USDINR","OPTION","13-Oct-2023",77.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.2775,6.1325,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.725,"USDINR"
"15404","OPTCUR","USDINR","OPTION","13-Oct-2023",77.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.0275,5.8825,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.4775,"USDINR"
"15406","OPTCUR","USDINR","OPTION","13-Oct-2023",78,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.7775,5.6325,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.2325,"USDINR"
"15408","OPTCUR","USDINR","OPTION","13-Oct-2023",78.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.5275,5.3825,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.9875,"USDINR"
"15412","OPTCUR","USDINR","OPTION","13-Oct-2023",78.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.0275,4.8825,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.505,"USDINR"
"15414","OPTCUR","USDINR","OPTION","13-Oct-2023",79,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",3.7675,4.6225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.195,"USDINR"
"15416","OPTCUR","USDINR","OPTION","13-Oct-2023",79.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",3.5175,4.3725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.945,"USDINR"
"15418","OPTCUR","USDINR","OPTION","13-Oct-2023",79.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",3.2675,4.1225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.695,"USDINR"
"15420","OPTCUR","USDINR","OPTION","13-Oct-2023",79.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",3.0175,3.8725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.445,"USDINR"
"15422","OPTCUR","USDINR","OPTION","13-Oct-2023",80,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",34,1,1000,0.0025,"US Dollars","","","","",2.7675,3.6225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.195,"USDINR"
"15424","OPTCUR","USDINR","OPTION","13-Oct-2023",80.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",5,1,1000,0.0025,"US Dollars","","","","",2.5175,3.3725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.945,"USDINR"
"15426","OPTCUR","USDINR","OPTION","13-Oct-2023",80.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",7,1,1000,0.0025,"US Dollars","","","","",2.2675,3.1225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.695,"USDINR"
"15428","OPTCUR","USDINR","OPTION","13-Oct-2023",80.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",46,1,1000,0.0025,"US Dollars","","","","",2.0175,2.8725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.445,"USDINR"
"15430","OPTCUR","USDINR","OPTION","13-Oct-2023",81,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",24,1,1000,0.0025,"US Dollars","","","","",1.7675,2.6225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.195,"USDINR"
"15432","OPTCUR","USDINR","OPTION","13-Oct-2023",81.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",123,1,1000,0.0025,"US Dollars","","","","",1.5175,2.3725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.945,"USDINR"
"15434","OPTCUR","USDINR","OPTION","13-Oct-2023",81.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",55,1,1000,0.0025,"US Dollars","","","","",1.2675,2.1225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.695,"USDINR"
"15436","OPTCUR","USDINR","OPTION","13-Oct-2023",81.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",24,1,1000,0.0025,"US Dollars","","","","",1.0175,1.8725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.445,"USDINR"
"15438","OPTCUR","USDINR","OPTION","13-Oct-2023",82,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",1545,1,1000,0.0025,"US Dollars","","","","",0.7675,1.6225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.195,"USDINR"
"15440","OPTCUR","USDINR","OPTION","13-Oct-2023",82.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",252,1,1000,0.0025,"US Dollars","","","","",0.53,1.385,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.9575,"USDINR"
